1,0,0,0,0,0,NaN,0,1,0,0,0,0,0,NaN,0
1,0,0,0,0,0,NaN,9.98392208803344e-13,1,0,0,0,0,0,NaN,0.003125
0,0.477856341389872,0.88427718669441,0.0125004873065568,36.5561379120732,32.325758789301,1,0.999999999680032,1,0.477856341389872,0,0,0,0,NaN,0.003125
1,0,0,0,0,0,NaN,0.475000000001997,1,0,0,0,0,0,NaN,0.48125
1,0,0,0,0,0,NaN,1.350000000001,1,0,0,0,0,0,NaN,1.353125
1,0,0,0,0,0,NaN,3.000000000002,1,0,0,0,0,0,NaN,3.00625
1,0,0,0,0,0,NaN,0.200000000007987,1,0,0,0,0,0,NaN,0.225
1,0,0,0,0,0,NaN,1.15072463768116,1,0,0,0,0,0,NaN,1.15072463768116
1,0,0,0,0,0,NaN,0.200000000011981,1,0,0,0,0,0,NaN,0.2375
1,0,0,0,0,0,NaN,5.25000000001198,1,0,0,0,0,0,NaN,5.2875
1,0,0,0,0,0,NaN,1.15458937200963,1,0,0,0,0,0,NaN,1.24521437198068
1,0,0,0,0,0,NaN,1.36111111114506,1,0,0,0,0,0,NaN,1.46736111111111
1,0,0,0,0,0,NaN,3.70628019327865,1,0,0,0,0,0,NaN,3.83753019323672
1,0,0,0,0,0,NaN,1.00000000011382,1,0,0,0,0,0,NaN,1.35625
1,0,0,0,0,0,NaN,17.1522946860522,1,0,0,0,0,0,NaN,17.3460446859903
